Id,Year,Month,CrashHour,LAT,LON,TotalVehicles,CrashSeverity,AllOccupantsRestrained,TrucksInvolved,Speeding,TooFast,IsAlcoholOrDrugsInvolved,TeenDriver,DistractedDriver,FailedToYield,Weather,GravelRoadSurface,RollOver,IntersectionRelated,CurveLocation,HillLocation,RunOffRoad,LaneDeparture,HeadOnImpact,RearEnd
200,2011,1,22        ,46.8832,-96.7982,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
201,2011,1,13        ,47.916499,-97.044883,2,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
202,2011,1,15        ,47.916293,-97.055939,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
203,2011,1,9         ,48.2354,-97.8605,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
204,2011,1,11        ,46.9976,-100.792,4,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
205,2011,1,15        ,48.4165,-97.4112,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
206,2011,1,6         ,48.2264,-103.6258,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
207,2011,1,8         ,47.909165,-97.055585,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
208,2011,1,8         ,47.9826,-97.7891,1,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0
209,2011,1,16        ,47.4402,-98.0257,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
210,2011,1,22        ,46.8256,-100.855,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
211,2011,1,15        ,46.26093,-96.74097,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
212,2011,1,14        ,47.9262,-97.0937,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
213,2011,1,13        ,47.9006,-97.0933,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
